name,latitude,longitude,historic,tourism,amenity
"Brama Obozu ""Arbeit macht frei""",50.0274518,19.2033675,Unknown,attraction,Unknown
Památník obětí II. světové války,49.6722685,16.9182272,monument,Unknown,Unknown
Hafenkran,52.3473501,14.5548838,technical_monument,attraction,Unknown
Druskininkų Vandens Parkas,54.0234242,23.9745298,Unknown,attraction,Unknown
Solna Jama,50.1898052,16.6072776,Unknown,attraction,Unknown
Międzynarodowy Pomnik Ofiar Obozu Auschwitz,50.0347561,19.1689807,monument,Unknown,Unknown
Zemní pyramidy,50.1079309,14.3849833,Unknown,attraction,Unknown
Großer Stein,52.3408074,14.4584848,Unknown,attraction,Unknown
Wizerunek Matki Bożej Skalskiej,50.0652139,19.7076498,wayside_shrine,attraction,Unknown
Hvězdárna,49.2961968,17.4190728,Unknown,attraction,Unknown
Szum,50.1748089,19.7434114,Unknown,attraction,Unknown
Zentrale Kriegsgräberstätte,52.326952,14.5321457,monument,Unknown,Unknown
T. Körner,50.889613,15.2728574,monument,Unknown,Unknown
Zagroda Żubrów,49.9778601,18.9307306,Unknown,attraction,Unknown
Pomnik Geodezji Europejskiej,52.243967,21.0091784,memorial,attraction,Unknown
Písečná brána,50.9310507,14.4241363,Unknown,attraction,Unknown
ledopád Opona,50.9313173,14.4268663,Unknown,attraction,Unknown
ledopád Malá kaskáda,50.9312631,14.4255948,Unknown,attraction,Unknown
Velký Pruský tábor,50.9281329,14.4253698,Unknown,attraction,Unknown
ledopády Konírna,50.9267776,14.4242936,Unknown,attraction,Unknown
ledopád Betlém,50.9274548,14.4305922,Unknown,attraction,Unknown
ledopád Vlčí stěnka,50.9292028,14.4312709,Unknown,attraction,Unknown
Morový sloup,49.776789,16.9187218,monument,Unknown,Unknown
Złota Kaczka,52.236672,21.0240045,memorial,attraction,fountain
Symbolická brána,50.0312204,14.3198472,Unknown,attraction,Unknown
Szwedzki Młyn,53.3570247,14.636639,ruins,attraction,Unknown
Kopiec Kościuszki,51.081304,23.8577161,monument,Unknown,Unknown
Ostroer Schanze,51.2154785,14.1975032,archaeological_site,attraction,Unknown
Skanzen Villa Nova - středověká vesnice,50.249603,16.3411252,Unknown,attraction,Unknown
ehem. Wehr Kutschigmühle,51.5208248,14.8034252,ruins,attraction,Unknown
Schrot-Mündung,51.5185919,14.7842652,Unknown,attraction,Unknown
Obelisk,52.082765,20.015474,memorial,attraction,Unknown
monument,52.0836233,20.0149501,monument,attraction,Unknown
Dom Murgrabiego,52.0838945,20.0152899,monument,attraction,Unknown
Ruiny,52.0841701,20.0154517,ruins,attraction,Unknown
Przybytek Arcykapłana,52.0837144,20.0145051,monument,attraction,Unknown
Grota Sybilli,52.0843612,20.0153928,ruins,attraction,Unknown
Sarkofag Augusta i Zofii ks. Czartoryskich,51.4102,21.9644165,monument,Unknown,Unknown
Schody angielskie,51.4129588,21.9579518,yes,attraction,Unknown
Pomnik Józefa Piłsudskiego,51.5587094,22.1357765,monument,Unknown,Unknown
Schody Tarasowe,51.41131,21.95996,yes,attraction,Unknown
Subakova koželužna,49.2176221,15.8812308,yes,attraction,Unknown
Zabytkowa studnia,52.0835892,20.0152289,Unknown,attraction,Unknown
wieża,52.0838485,20.0152455,ruins,attraction,Unknown
Hochofen Brausenstein,50.8584382,14.040919,Unknown,attraction,Unknown
Hořínské zdymadlo,50.3408472,14.4685628,Unknown,attraction,Unknown
Rozhledna Zlobice,49.3221007,16.5184132,Unknown,attraction,Unknown
Pomnik Adama Mickiewicza,53.4310347,14.5619957,memorial,attraction,Unknown
Szumy na Tanwi,50.3942144,23.19642,Unknown,attraction,Unknown
Ku czci pamięci mieszkańcom Szewni Dolnej,50.62631,23.12474,monument,Unknown,Unknown
Pamięci Poległych Leśników,50.6005011,22.9655156,monument,Unknown,Unknown
Pomnik Żołnierza Radzieckiego,50.62028,23.09825,monument,Unknown,Unknown
Żołnierzom Powstania Zamojskiego,50.6287736,23.1254602,monument,Unknown,Unknown
Krąg ziemny - miejsce stacjonowania oddziału partyzanckiego,50.6351187,22.8977629,monument,Unknown,Unknown
Pomnik pomordowanych przez hitlerowców,50.6101743,22.9662066,monument,Unknown,Unknown
Heideborn,50.8595487,14.6543941,Unknown,attraction,Unknown
Ścieżka edukacji ekologicznej,54.127392,16.296445,Unknown,attraction,Unknown
Kleines Prebischtor,50.9116713,14.2317783,Unknown,attraction,Unknown
Königshügel,51.4812736,14.9026213,Unknown,attraction,Unknown
Rotmistrz Witold Pilecki,50.2840857,18.7993319,monument,Unknown,Unknown
Blumenuhr,50.8957658,14.8123208,Unknown,attraction,clock
Malá Macocha,49.2921984,16.698387,Unknown,attraction,Unknown
Teufelsstein,51.3070362,14.10067,Unknown,attraction,Unknown
Głaz Oskara Michalika,50.097286,18.6079901,Unknown,attraction,Unknown
Źródło wody pitnej,50.0840965,18.6937508,Unknown,attraction,drinking_water
Zderadův sloup,49.191097,16.6276129,monument,Unknown,Unknown
Milenec,49.1135022,14.7544254,Unknown,attraction,Unknown
Schinkel-Turm,52.644934,14.3604852,Unknown,attraction,Unknown
Kahnfahrt,51.2922387,14.1483961,Unknown,attraction,Unknown
Geburtshaus Georg Baselitz,51.2865937,14.1503569,Unknown,attraction,Unknown
Houba,50.7867323,14.0385235,Unknown,attraction,Unknown
Malé Tiské stěny,50.7882557,14.0279764,Unknown,attraction,Unknown
Skalní náměstí,50.7876316,14.0288939,Unknown,attraction,Unknown
U Svozu,50.7447639,15.6351593,Unknown,attraction,Unknown
Památník obětem fašizmu,50.4987421,16.1142878,monument,Unknown,Unknown
Pręgierz,52.408389,16.9342987,pillory,attraction,Unknown
Pałac pod Globusem,53.4261223,14.5542763,Unknown,attraction,Unknown
Mauzoleum Żołnierzy Powstania Warszawskiego,52.1561537,20.8478406,memorial,attraction,Unknown
Obří hlava a Žába,50.4500158,14.6143152,Unknown,attraction,Unknown
Ruiny Strażnicy,50.6292285,19.4501795,ruins,attraction,Unknown
Brama Twardowskiego,50.6897917,19.4039528,Unknown,attraction,Unknown
Dąb Bartek,50.9875642,20.6500692,Unknown,attraction,Unknown
Serbske torožo,51.2640516,14.1581468,Unknown,attraction,Unknown
Rokle Apatyka,50.4501997,14.6008428,Unknown,attraction,Unknown
ehem. Moorstich,51.4798662,14.7524538,Unknown,attraction,Unknown
Historische Waldweidesperre mit Salzlecke,50.9711968,14.0891883,Unknown,attraction,Unknown
Silvarium,53.2624027,23.6383386,Unknown,attraction,Unknown
Císařský kámen,50.7132067,15.1042376,Unknown,attraction,Unknown
Młyn wodny z końca XIX w.,51.8868169,19.683753,Unknown,attraction,Unknown
Dawna osada 1920 r.,51.8286955,19.7546602,Unknown,attraction,Unknown
L. Kontrawers,51.806337,19.709745,Unknown,attraction,Unknown
Alte Schleuse,52.1180725,14.064193,Unknown,attraction,Unknown
Dům mafiána Františka Mrázka,50.0710659,14.846597,Unknown,attraction,Unknown
Drátenická skála,49.6547495,16.084041,Unknown,attraction,Unknown
Černá skála,49.6674773,16.0631013,Unknown,attraction,Unknown
Ostrá voda,50.426624,16.0756203,Unknown,attraction,Unknown
Streichelzoo,52.5562268,14.1365991,Unknown,attraction,Unknown
Loupežnický stůl,49.2945992,14.2256991,yes,attraction,Unknown
Pomnik Ziemniaka,54.1329567,16.0403598,monument,Unknown,Unknown
Ленін У.І.,53.6838417,23.8339356,memorial,attraction,Unknown
Socha Sv.Floriana,50.0807009,16.3093111,monument,Unknown,Unknown
Arboretum Karnieszewickie,54.2697855,16.3274435,Unknown,attraction,Unknown
Pomnik Jana Pawła II,49.7956609,19.4459715,monument,Unknown,Unknown
Kamienne Kręgi w Leśnie,53.9296574,17.6941212,Unknown,attraction,Unknown
Mosesfelsen,51.2042434,14.6373401,Unknown,attraction,Unknown
