track_name,album_name,release_date,duration_ms,key,mode,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Waltz (Better Than Fine),Extraordinary Machine,2005-10-04,226186,2,0,0.399,0.364,-9.901,0.0277,0.822,0.0291,0.0779,0.269,169.659
On The Bound,When The Pawn...,1999-11-09,322000,0,0,0.654,0.577,-8.217,0.0285,0.0506,0.0499,0.481,0.657,116.903
To Your Love,When The Pawn...,1999-11-09,220026,5,0,0.685,0.611,-8.892,0.0271,0.307,0.0011,0.134,0.7,121.065
Limp,When The Pawn...,1999-11-09,209800,9,0,0.771,0.515,-10.456,0.0499,0.116,0.000168,0.405,0.343,119.961
Love Ridden,When The Pawn...,1999-11-09,202160,0,1,0.266,0.249,-12.908,0.0441,0.798,0.0,0.197,0.086,78.793
Paper Bag,When The Pawn...,1999-11-09,219266,0,1,0.709,0.446,-9.904,0.037,0.716,2.39e-05,0.11,0.843,140.993
A Mistake,When The Pawn...,1999-11-09,296400,0,1,0.624,0.772,-8.303,0.0254,0.00157,0.0334,0.186,0.537,135.74
Fast As You Can,When The Pawn...,1999-11-09,278266,0,1,0.46,0.772,-9.233,0.0444,0.131,0.0412,0.0527,0.531,138.002
The Way Things Are,When The Pawn...,1999-11-09,256133,9,0,0.597,0.649,-8.851,0.0247,0.257,0.00147,0.166,0.393,145.912
Get Gone,When The Pawn...,1999-11-09,247600,10,0,0.692,0.4,-9.767,0.0349,0.212,1.55e-05,0.559,0.328,130.228
I Know,When The Pawn...,1999-11-09,295133,0,1,0.324,0.211,-14.223,0.0287,0.944,0.0031,0.118,0.199,146.367
Sleep to Dream,Tidal,1996-07-23,248560,2,1,0.725,0.575,-9.769,0.0511,0.0301,4.84e-05,0.136,0.757,144.157
Sullen Girl,Tidal,1996-07-23,234706,9,0,0.306,0.297,-11.54,0.0284,0.761,0.115,0.121,0.148,137.516
Shadowboxer,Tidal,1996-07-23,324266,2,0,0.298,0.52,-7.297,0.0303,0.265,0.0,0.165,0.223,74.131
Criminal,Tidal,1996-07-23,341533,7,0,0.595,0.804,-7.911,0.0326,0.0129,1.97e-05,0.299,0.586,89.846
Slow Like Honey,Tidal,1996-07-23,356400,7,0,0.356,0.27,-12.119,0.0277,0.634,6.15e-05,0.0998,0.121,141.936
The First Taste,Tidal,1996-07-23,286960,6,1,0.682,0.729,-10.293,0.0528,0.259,0.0105,0.123,0.536,89.886
Never Is a Promise,Tidal,1996-07-23,354533,0,1,0.328,0.193,-13.423,0.0331,0.908,0.016,0.112,0.187,116.649
The Child Is Gone,Tidal,1996-07-23,254866,0,0,0.563,0.399,-10.638,0.024,0.343,0.00234,0.114,0.268,96.865
Pale September,Tidal,1996-07-23,350933,1,1,0.264,0.191,-16.879,0.03,0.902,0.0398,0.103,0.16,170.208
Carrion,Tidal,1996-07-23,343666,2,0,0.332,0.417,-9.599,0.0356,0.677,0.0364,0.104,0.179,123.374
Criminal - Cover Version,Criminal (Cover Version),2021-07-29,303375,10,1,0.339,0.546,-6.73,0.0427,0.922,0.000142,0.118,0.203,77.924
Love More,Love More,2021-04-15,272067,8,1,0.605,0.442,-14.252,0.0623,0.29,0.0122,0.219,0.72,139.979
I Know (feat. Fiona Apple) - RISE Recording,I Know (feat. Fiona Apple) [RISE Recording],2019-01-25,299613,0,1,0.52,0.253,-12.407,0.0344,0.394,0.000131,0.109,0.219,139.555
Parting Gift - Live Version,Parting Gift (Live Version),2005-10-11,216933,9,0,0.467,0.101,-11.825,0.0759,0.937,0.0,0.103,0.157,169.862
Fast As You Can - Radio Edit,Fast As You Can EP,1999-11-20,226426,0,1,0.501,0.697,-9.382,0.0505,0.25,0.00663,0.0806,0.545,137.929
Across the Universe - Remix,Fast As You Can EP,1999-11-20,222506,4,1,0.578,0.8,-9.469,0.0357,0.0754,0.000337,0.114,0.507,130.017
"Never Is A Promise - Live from Sessions at West 54th, New York, NY - November 1997",Fast As You Can EP,1999-11-20,382066,0,1,0.363,0.174,-16.117,0.0445,0.905,2.88e-06,0.785,0.187,136.725
