track_name,album_name,release_date,track_id,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Better Version Of Me,Extraordinary Machine,2005-10-04,44tKNi9TEVbu31QlBkXSvG,179600,0.621,0.748,7,-7.586,0,0.0344,0.0014,0.0172,0.0982,0.639,120.088
Tymps (The Sick in the Head Song),Extraordinary Machine,2005-10-04,2zjUGfh1MqYNfYrQ6Fbu0o,243866,0.85,0.522,8,-8.598,1,0.0482,0.306,9.53e-06,0.0506,0.643,110.012
Parting Gift,Extraordinary Machine,2005-10-04,58rxpgox81Lb5kw3NO0Sq7,214786,0.41,0.149,9,-9.811,1,0.038,0.934,0,0.112,0.314,181.207
Window,Extraordinary Machine,2005-10-04,4Qm4AIJCJpf2o9qVttISdw,331640,0.731,0.676,10,-6.027,1,0.0344,0.13,5.74e-05,0.078,0.727,121.996
Oh Well,Extraordinary Machine,2005-10-04,3FFZrw76fPNYRTMHzYA7rb,220826,0.621,0.507,0,-6.025,1,0.0233,0.197,0,0.199,0.278,108.401
Please Please Please,Extraordinary Machine,2005-10-04,77HX2e9ez1IpSiev5JiZ9A,213586,0.736,0.668,0,-5.955,1,0.0272,0.0721,1.19e-06,0.178,0.652,102.384
Red Red Red,Extraordinary Machine,2005-10-04,7oQcqeb9FTPAkW6uVtHWeZ,248053,0.229,0.177,7,-12.985,1,0.0317,0.441,9.56e-05,0.109,0.0376,179.908
Not About Love,Extraordinary Machine,2005-10-04,0WDARMlKHcDBm1r0PGaFCI,259413,0.421,0.416,0,-9.256,1,0.0326,0.165,0,0.11,0.113,138.118
Waltz (Better Than Fine),Extraordinary Machine,2005-10-04,7neXV046ou4CNN9wyFAED6,226186,0.399,0.364,2,-9.901,0,0.0277,0.822,0.0291,0.0779,0.269,169.659
On The Bound,When The Pawn...,1999-11-09,43o7PowhXdkjBlaGC6GIfg,322000,0.654,0.577,0,-8.217,0,0.0285,0.0506,0.0499,0.481,0.657,116.903
To Your Love,When The Pawn...,1999-11-09,4jsEzsAPVje1NgXYq3e7SV,220026,0.685,0.611,5,-8.892,0,0.0271,0.307,0.0011,0.134,0.7,121.065
Limp,When The Pawn...,1999-11-09,104YdibC7VQy78xAVmgRYr,209800,0.771,0.515,9,-10.456,0,0.0499,0.116,0.000168,0.405,0.343,119.961
Love Ridden,When The Pawn...,1999-11-09,0eRw1thpWDU7tFt6NfVU4C,202160,0.266,0.249,0,-12.908,1,0.0441,0.798,0,0.197,0.086,78.793
Paper Bag,When The Pawn...,1999-11-09,0IVkP59yJ9GFF6B7IrvrxA,219266,0.709,0.446,0,-9.904,1,0.037,0.716,2.39e-05,0.11,0.843,140.993
A Mistake,When The Pawn...,1999-11-09,0w7XPnFp1jA7w7C8t89zJi,296400,0.624,0.772,0,-8.303,1,0.0254,0.00157,0.0334,0.186,0.537,135.74
Fast As You Can,When The Pawn...,1999-11-09,1UmmSKPdCtBuJsmbZG9G3u,278266,0.46,0.772,0,-9.233,1,0.0444,0.131,0.0412,0.0527,0.531,138.002
The Way Things Are,When The Pawn...,1999-11-09,6DLJQz0hav4l4VfEjJze5T,256133,0.597,0.649,9,-8.851,0,0.0247,0.257,0.00147,0.166,0.393,145.912
Get Gone,When The Pawn...,1999-11-09,32yottFNSCL9Nho9biIKzY,247600,0.692,0.4,10,-9.767,0,0.0349,0.212,1.55e-05,0.559,0.328,130.228
