track_name,album_name,release_date,track_id,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,lyrics_url
Over,Portishead,1997-01-01,6624hZJ0nRh0ve2SelMXVw,235533,0.632,0.712,1,-9.439,1,0.0434,0.453,0.000247,0.113,0.175,74.132,https://genius.com/Portishead-over-lyrics
Humming,Portishead,1997-01-01,2raNLL2FWxWNA4veLZIuAj,362333,0.592,0.488,4,-7.596,1,0.0332,0.238,0.0742,0.822,0.0591,74.007,https://genius.com/Portishead-humming-lyrics
Mourning Air,Portishead,1997-01-01,4AJyCdViXryL9E98MkWPzp,252226,0.439,0.508,0,-8.234,0,0.0313,0.25,0.18,0.123,0.0582,141.985,https://genius.com/Portishead-mourning-air-lyrics
Seven Months,Portishead,1997-01-01,3TpGjl2QDRr35EdFDUey8X,256040,0.489,0.82,4,-5.449,1,0.12,0.459,2.32e-05,0.0868,0.298,76.181,https://genius.com/Portishead-seven-months-lyrics
Only You,Portishead,1997-01-01,2qKkC9cODRjIlsdyEkSJLQ,299560,0.581,0.316,5,-12.212,1,0.19,0.334,0.0145,0.148,0.108,120.349,https://genius.com/Portishead-only-you-lyrics
Elysium,Portishead,1997-01-01,3aK3iIvgT5FQgKAjLunrMN,354640,0.264,0.491,1,-5.534,0,0.0577,0.00405,0.0485,0.234,0.0385,79.98,https://genius.com/Portishead-elysium-lyrics
Western Eyes,Portishead,1997-01-01,1gOACnpZKFC70kn0nsmqen,239333,0.641,0.292,4,-12.674,0,0.0925,0.509,0.000198,0.329,0.216,138.289,https://genius.com/Portishead-western-eyes-lyrics
Mysterons,Dummy,1994-01-01,2O6X9nPVVQSefg3xOQAo5u,305240,0.657,0.498,11,-11.529,1,0.262,0.405,0.000479,0.107,0.46,164.25,https://genius.com/Portishead-mysterons-lyrics
Sour Times,Dummy,1994-01-01,6vTtCOimcPs5H1Jr9d0Aep,252266,0.698,0.633,8,-6.68,0,0.0406,0.0508,0.272,0.264,0.55,94.085,https://genius.com/Portishead-sour-times-lyrics
Strangers,Dummy,1994-01-01,6pW8YspamPCxUwgvYttTSc,237600,0.659,0.617,6,-6.157,1,0.038,0.0355,0.16,0.185,0.25,84.078,https://genius.com/Portishead-strangers-lyrics
It Could Be Sweet,Dummy,1994-01-01,1cpnpMvnvmdy3hzYgd5oo9,257160,0.668,0.52,9,-11.098,1,0.0444,0.698,0.0165,0.13,0.556,153.963,https://genius.com/Portishead-it-could-be-sweet-lyrics
Wandering Star,Dummy,1994-01-01,7h14W1uQK7sjpVI1oVTobt,293200,0.639,0.37,6,-10.883,1,0.0723,0.504,0.587,0.117,0.707,80.152,https://genius.com/Portishead-wandering-star-lyrics
It's A Fire,Dummy,1994-01-01,6JHGaBhtCbfEtOh5ea7fLI,226200,0.636,0.346,6,-11.188,1,0.0322,0.405,0.179,0.0932,0.27,89.098,https://genius.com/Portishead-its-a-fire-lyrics
