date,name,diameter_km,velocity_kms,closest_approach_au,potentially_hazardous
2024-01-06,(2021 EU4),0.0695088301,13.557374479,0.2906663653,False
2024-01-06,(2021 MQ1),0.1458948557,21.4639863349,0.1358979668,False
2024-01-06,585310 (2017 YZ1),0.4920848322,12.227293154,0.4823053713,True
2024-01-06,591179 (2013 EU9),0.2767196367,6.4568624469,0.4595501104,False
2024-01-06,(2021 UO1),0.0147244804,13.500108601,0.4175439216,False
2024-01-06,(2023 MB3),0.0059434687,13.0170442397,0.3657282297,False
2024-01-06,(2023 UE4),0.2767196367,8.4652072673,0.2020846207,False
2024-01-06,(2024 AC),0.0472106499,6.7879066336,0.0154698996,False
2024-01-06,(2023 YX1),0.0633928065,14.312092751,0.0259173986,False
2024-01-06,(2024 AH1),0.0403682552,9.6480231747,0.0230037015,False
2024-01-06,(2024 AV3),0.0414992243,13.8228113761,0.031246689,False
2024-01-06,(2024 BR),0.2754482254,19.1440498079,0.203790755,False
2024-01-05,(2007 SG11),0.1729975604,5.8695959378,0.279217138,False
2024-01-05,(2013 YD),0.1132504611,26.4969302496,0.4134715606,False
2024-01-05,(2016 RW19),0.3802243961,15.4546352377,0.3310608323,False
2024-01-05,(2017 YA8),0.2032544107,20.6375976951,0.47281464,False
2024-01-05,(2020 BT8),0.1745982871,9.113812766,0.4020460517,False
2024-01-05,(2020 JB1),0.0311917671,8.2878909741,0.195163435,False
2024-01-05,(2021 QC3),0.0843412394,18.1744842834,0.4792718313,False
2024-01-05,(2023 KF5),0.0304817558,14.2499828727,0.3682368165,False
2024-01-05,(2023 OG5),0.0859092601,15.3680274054,0.4815497794,False
2024-01-05,(2023 WX),0.310484539,16.5182401607,0.3384902592,False
2024-01-05,(2023 YX),0.1276556316,6.8197105387,0.1761707793,False
2024-01-05,(2024 HY),0.1096579137,7.1804901779,0.337303243,False
2024-01-07,138893 (2000 YH66),1.3805113411,32.9996711998,0.2794403841,False
2024-01-07,199003 (2005 WJ56),1.3868834919,15.2908365775,0.1995345461,True
2024-01-07,434188 (2003 AD23),0.9037326626,33.8373421713,0.204313989,True
2024-01-07,(2007 YZ),0.708010957,17.5905697571,0.191766528,False
2024-01-07,(2010 JR34),0.0171411509,10.5972841382,0.203565311,False
2024-01-07,(2012 BV13),0.2070331923,18.7982461783,0.476653263,False
2024-01-07,(2019 PJ),0.1042413384,14.3972065058,0.0248646998,False
2024-01-07,(2020 XA5),0.0824213984,8.2454774127,0.142752665,False
2024-01-07,(2021 LA),0.1014004725,24.9091695738,0.4791922828,False
2024-01-07,(2021 UH2),0.0570216761,4.96871975,0.1645346021,False
2024-01-07,(2023 YV1),0.1091540813,8.120493377,0.0564841975,False
2024-01-07,(2024 AM),0.0161450717,9.023354683,0.0080840728,False
2024-01-07,(2024 AW),0.0465628955,8.495992761,0.0286110782,False
2024-01-07,(2024 AL2),0.0198627775,6.6495962837,0.010003857,False
