name,latitude,longitude
Maple Lane,44.0893335,-70.365703
Groves Lane,44.073411,-70.410745
Amvet Road,44.010155,-70.4042885
West Hardscrabble Road,44.0585605,-70.2866456
Watson Road,44.0059925,-70.4071215
Blackberry Lane,43.9948445,-70.4060525
Verrill Road,44.0240005,-70.3366221
Echo Cove Lane,44.0120613,-70.3964311
Second Avenue,44.02721,-70.3743995
Cedar Mills Road,44.074377,-70.3653065
Sandy Lane,44.0881955,-70.343785
Old Tiger Hill Road,44.0639575,-70.4559555
Cleve Tripp Road,44.011768,-70.403833
Woodberry Lane,44.0240335,-70.3826
Bolduc Lane,44.0573835,-70.460231
Maine Street,44.0742806,-70.4149105
Maine Street,44.072406,-70.4124945
Poland Spring Drive,44.0267794,-70.3529325
Broadway Circle,44.0610875,-70.3279535
Old Blackcat Mountain Road,44.0128858,-70.4286084
Plains Road,44.043182,-70.3457325
Woodland Shore Drive,44.018552,-70.3789269
Woodland Shore Drive,44.0162632,-70.3801355
Otter Lane,43.9967875,-70.41006
Tucker Lane,43.994251,-70.4074105
Hardscrabble Road,44.0719618,-70.307952
Goss Way,44.0822525,-70.363323
State Park Road,44.0407132,-70.3492017
Ann Street,44.0664016,-70.3039081
Hunt Road,44.078142,-70.37453
Berry Court,44.081203,-70.318297
McIntosh Lane,44.0205905,-70.462136
Timber Lane,43.997699,-70.399896
First Avenue,44.029842,-70.373439
East Crestwood,44.0283255,-70.345668
Osprey Cove Lane,43.9951805,-70.405132
Chabot Drive,44.0964615,-70.3582165
Potash Lane,44.039904,-70.453375
Megquier Hill Road,44.0546145,-70.45545
Jordan Shore Drive,44.0454314,-70.4266506
Mark Street,44.06595,-70.3043135
August Street,44.0676079,-70.3027285
Tiger Hill Road,44.080271,-70.452325
Stones Lane,44.0485193,-70.4544334
Birchwood Lane,44.0100968,-70.3597257
Camp Fernwood Lane,44.059743,-70.4634432
Storm Cove Lane,44.042466,-70.4542575
Fire Ln 12,44.046807,-70.4535495
Heath Road,44.0252226,-70.4679354
Glen Lane,44.0130666,-70.3937073
Watson Drive,44.0002235,-70.408833
Watson Drive,44.000137,-70.4088115
Northern Spring Drive,44.0670005,-70.3862355
Robert's Drive,44.075232,-70.3740604
Cobb Brook Lane,44.0685735,-70.354181
Cobb Road,44.0608548,-70.3785845
Fieldstone Road,44.071491,-70.471798
Upper Range Drive,44.005523,-70.4059675
East Record Road,44.0749895,-70.329288
Tennis Road,44.0252443,-70.360632
Pigeon Hill Road,44.0917115,-70.4269745
Colbath Road,44.0031825,-70.3811465
Parson's Way,44.061271,-70.327062
Cassie Lane,44.00358,-70.4144555
Cherry Road,44.0810472,-70.3190014
Backwood Drive,44.0686825,-70.328601
Spruce Drive,44.0090191,-70.4019909
Chestnut Drive,44.0816121,-70.3185535
Chestnut Drive,44.0822125,-70.316571
Schwabe Lane,44.0132035,-70.3892345
Foster Road,44.034994,-70.3002604
Hideaway Road,44.0666975,-70.3632665
High View Drive,44.0012631,-70.3616775
Jackson Road,44.0432508,-70.3911212
Cimino Drive,44.0281515,-70.347092
Schellinger Road,44.0265512,-70.3873023
Schellinger Road,44.0148555,-70.393164
Ash Drive,44.0815536,-70.3204657
West Crestwood,44.0255815,-70.3490215
Apple Blossom Drive,44.067766,-70.3728375
Apple Blossom Drive,44.0691715,-70.3755835
Village Street,44.0686022,-70.3027213
Klondike Road,44.067425,-70.4236835
Cottage Way,44.0244732,-70.3630755
Bois Lane,44.0134132,-70.3933558
Auction Drive,44.0514655,-70.3704155
Hickory Way,44.0413345,-70.3357945
Orchard Road,44.0662615,-70.364297
Miller Drive,44.0619285,-70.328367
Poplar Drive,44.080795,-70.3188617
Poplar Drive,44.0805349,-70.3180465
Bluebird Drive,43.996734,-70.4010925
Pond Lane,44.0425425,-70.442128
Lafrinea Lane,44.0054681,-70.3701063
Hackett Mills Road,44.082014,-70.339724
Blackcat Mountain Road,44.0019185,-70.4162405
Black Island Road,44.0639454,-70.4791427
Winterbrook Road,44.0757293,-70.4261439
Mechanic Falls Road,44.094509,-70.3480805
Walker Point Road,44.0226345,-70.387129
Windsor Place,44.075364,-70.438703
West Record Road,44.074345,-70.3350915
Evergreen Drive,44.0766248,-70.4126578
Dale Street,44.0681015,-70.3024455
Willow Lane,44.0403515,-70.4596945
Carpenter Road,44.0087203,-70.3678607
Everett Road,44.072476,-70.362183
Tripp Lake Camp Road,44.0700805,-70.4406755
Tripp Lake Camp Road,44.0657844,-70.4349725
Tripp Lake Camp Road,44.0603634,-70.4366128
Tripp Lake Camp Road,44.0654024,-70.4370486
Hines Road,44.0163695,-70.3658145
Perkins Road,44.0543765,-70.3737325
Sawyer Road,44.0594155,-70.380284
Lewiston Junction Road,44.050513,-70.303226
Violette Avenue,44.0841415,-70.322004
Oakridge Drive,44.0090285,-70.359143
Summit Springs Road,44.038111,-70.3994723
Summit Springs Road,44.0283405,-70.388223
Little Hill Lane,44.0456705,-70.468962
White Oak Hill Road,44.0446372,-70.41919
Pine Avenue,44.060391,-70.328656
Shannon Lane,43.999919,-70.410708
Julie Street,44.065879,-70.304676
Bakerstown Road,44.0299292,-70.437118
Cliff Lane,44.041408,-70.4539695
Knoll Road,44.034266,-70.4423815
Gagne Lane,44.0530881,-70.3585913
Poland Corner Road,44.0720725,-70.3778435
Lane Road,44.0815505,-70.3297147
Strout Road,44.054451,-70.409838
Front Avenue,44.061941,-70.3274835
Front Avenue,44.0597055,-70.327337
