name,latitude,longitude
Dom Murgrabiego,52.0838945,20.0152899
Ruiny,52.0841701,20.0154517
Przybytek Arcykapłana,52.0837144,20.0145051
Grota Sybilli,52.0843612,20.0153928
Sarkofag Augusta i Zofii ks. Czartoryskich,51.4102,21.9644165
Schody angielskie,51.4129588,21.9579518
Pomnik Józefa Piłsudskiego,51.5587094,22.1357765
Schody Tarasowe,51.41131,21.95996
Subakova koželužna,49.2176221,15.8812308
Zabytkowa studnia,52.0835892,20.0152289
wieża,52.0838485,20.0152455
Hochofen Brausenstein,50.8584382,14.040919
Hořínské zdymadlo,50.3408472,14.4685628
Rozhledna Zlobice,49.3221007,16.5184132
Pomnik Adama Mickiewicza,53.4310347,14.5619957
Szumy na Tanwi,50.3942144,23.19642
Ku czci pamięci mieszkańcom Szewni Dolnej,50.62631,23.12474
Unnamed,50.4404442,23.1108585
Pamięci Poległych Leśników,50.6005011,22.9655156
Pomnik Żołnierza Radzieckiego,50.62028,23.09825
Żołnierzom Powstania Zamojskiego,50.6287736,23.1254602
Krąg ziemny - miejsce stacjonowania oddziału partyzanckiego,50.6351187,22.8977629
Pomnik pomordowanych przez hitlerowców,50.6101743,22.9662066
Heideborn,50.8595487,14.6543941
Ścieżka edukacji ekologicznej,54.127392,16.296445
Kleines Prebischtor,50.9116713,14.2317783
Königshügel,51.4812736,14.9026213
Rotmistrz Witold Pilecki,50.2840857,18.7993319
Unnamed,50.1718956,16.949498
Unnamed,50.1714965,16.9491419
Blumenuhr,50.8957658,14.8123208
Unnamed,50.1728198,16.9565843
Unnamed,50.1731346,16.9625281
Unnamed,50.1730737,16.9680544
Malá Macocha,49.2921984,16.698387
Teufelsstein,51.3070362,14.10067
Głaz Oskara Michalika,50.097286,18.6079901
Źródło wody pitnej,50.0840965,18.6937508
Zderadův sloup,49.191097,16.6276129
Milenec,49.1135022,14.7544254
Schinkel-Turm,52.644934,14.3604852
Kahnfahrt,51.2922387,14.1483961
Geburtshaus Georg Baselitz,51.2865937,14.1503569
Houba,50.7867323,14.0385235
Malé Tiské stěny,50.7882557,14.0279764
Skalní náměstí,50.7876316,14.0288939
U Svozu,50.7447639,15.6351593
Památník obětem fašizmu,50.4987421,16.1142878
Pręgierz,52.408389,16.9342987
Pałac pod Globusem,53.4261223,14.5542763
Mauzoleum Żołnierzy Powstania Warszawskiego,52.1561537,20.8478406
Obří hlava a Žába,50.4500158,14.6143152
Ruiny Strażnicy,50.6292285,19.4501795
Brama Twardowskiego,50.6897917,19.4039528
Dąb Bartek,50.9875642,20.6500692
Unnamed,51.8335897,19.6548414
Serbske torožo,51.2640516,14.1581468
Rokle Apatyka,50.4501997,14.6008428
ehem. Moorstich,51.4798662,14.7524538
Historische Waldweidesperre mit Salzlecke,50.9711968,14.0891883
Silvarium,53.2624027,23.6383386
Císařský kámen,50.7132067,15.1042376
Młyn wodny z końca XIX w.,51.8868169,19.683753
Unnamed,51.884252,19.7141396
Dawna osada 1920 r.,51.8286955,19.7546602
L. Kontrawers,51.806337,19.709745
Alte Schleuse,52.1180725,14.064193
Dům mafiána Františka Mrázka,50.0710659,14.846597
Drátenická skála,49.6547495,16.084041
Černá skála,49.6674773,16.0631013
Ostrá voda,50.426624,16.0756203
Streichelzoo,52.5562268,14.1365991
Loupežnický stůl,49.2945992,14.2256991
Pomnik Ziemniaka,54.1329567,16.0403598
Ленін У.І.,53.6838417,23.8339356
Socha Sv.Floriana,50.0807009,16.3093111
Arboretum Karnieszewickie,54.2697855,16.3274435
Unnamed,49.0316354,18.0532592
Pomnik Jana Pawła II,49.7956609,19.4459715
Kamienne Kręgi w Leśnie,53.9296574,17.6941212
Mosesfelsen,51.2042434,14.6373401
Pomnik Małego Powstańca,52.2492766,21.0096187
Łosiowa Dolina,54.2518433,18.1407805
lachtani,50.116017,14.4106499
Miejsce poległych żołnierzy,50.3327974,18.9283238
Chełmno,52.1516985,18.7219907
Znak graniczny Krzemieniec/Hraničný znak Kremenec/Потрійний стик Кременець,49.0879954,22.5657103
Unnamed,53.6701757,23.8483657
Pamätník francúzskych partizánov,49.1820082,18.86067
Borsuk,49.7768018,20.9669766
Piramidy,49.7775727,20.9693468
Pustelnia,49.7776811,20.9704083
Rodný domek K.J. Erbena,50.4059477,15.6800634
Pomnik Ofiar Szybu Reden,50.0526537,18.4616081
Dąb Wolności,53.4052889,23.4951117
Pomnik Obrońców Wybrzeża,54.4067012,18.6669686
Wettin-Obelisk,50.9296967,14.0840244
Wigierska Kolej Wąskotorowa,54.0207132,22.9832084
Unnamed,51.123787,15.2744033
Unnamed,54.2605337,18.6335925
Święty Jan Nepomucen,53.2671448,19.8191395
Gedächtnishain (Kriemhieldenstein),50.8500766,14.0440731
Rosengarten,50.8501264,14.0445583
Przełom Wisłoka,49.5182958,21.9318301
Иммануил Кант,54.706492,20.5128866
Kolejka Parkowa,51.9923409,16.9820007
Bergkirche,51.544158,14.7198216
Unnamed,51.832621,19.477472
Zabytkowy Młyn,51.5768997,19.2486265
Niebieskie Źródła,51.5107872,20.0244107
Posterunek Radiolokacyjny (pozostałości),52.97861,20.79944
Kleiner Markgrafenstein,52.3193147,14.0354934
sv. Cyril a Metod,49.2504072,19.0320416
Železnorudný důl Chrustenice,50.0045032,14.1650141
Juraj Jánošík,49.2542211,19.0377786
Jaskinia Solna,51.2867047,22.2146719
Pomnik na Kirkucie,51.313625,21.9528075
Pomnik Józefa Piłsudskiego,51.2482609,22.5589831
Pomnik Unii Lubelskiej,51.2481487,22.5603244
Bohaterom Walk Partyzanckich,51.3038945,22.091052
Krzyż Milenijny,51.2574459,15.5615763
Unnamed,51.203282,16.1565194
Steinerner Tisch,52.3220498,14.0334512
Zahradní železnice,49.3392284,16.4822184
Zahnsborn,50.9109968,14.1854926
Gautschgrotte,50.9765108,14.1057626
Gedenkstein Dorf Scheibe,51.4381163,14.3463949
Fort Karola,50.4637624,16.3471339
Zesłańcom Sybiru,51.1225277,17.0299254
Brána Matky Boží,49.3947338,15.5871074
Polana i kaplica świętego Huberta,52.51428,19.81407
Sosna Powstańców 1863 r.,52.3117724,20.5217366
Merktafel „Östlichster Punkt Deutschlands“,51.2730163,15.0411786
"""Alte Schule"" Wittgendorf",50.9430469,14.8387808
Milštejn,50.8113187,14.6329121
Wieczna chwała żołnierzom,51.2113145,16.1884077
Placatá skála,50.0309812,14.3169457
Wysoka Brama,53.7775791,20.4776632
Hier lebte der sorbische Maler Heinrich Theodor Wehle in seiner Jugendzeit,51.3477192,14.6838656
Das Ohr,51.0053815,14.7841818
Die grosse Zahl,51.0057585,14.7843408
Die Einkehr,51.0070914,14.7824261
Eremit,51.0066428,14.7782365
Xylophon,51.005403,14.7759052
